Id,"bikes"
1,4
2,3
3,4
4,4
5,4
6,4
7,3
8,4
9,3
10,4
11,4
12,5
13,4
14,3
15,4
16,3
17,4
18,4
19,5
20,4
21,3
22,4
23,3
24,4
25,4
26,4
27,4
28,3
29,4
30,3
31,3
32,3
33,3
34,3
35,3
36,3
37,3
38,3
39,3
40,3
41,3
42,3
43,4
44,3
45,3
46,3
47,3
48,3
49,3
50,4
51,3
52,3
53,3
54,3
55,3
56,3
57,4
58,3
59,3
60,3
61,5
62,3
63,4
64,3
65,4
66,3
67,4
68,5
69,3
70,4
71,3
72,4
73,2
74,3
75,5
76,3
77,4
78,3
79,4
80,2
81,4
82,5
83,3
84,5
85,3
86,4
87,2
88,4
89,5
90,3
91,6
92,6
93,6
94,6
95,6
96,6
97,6
98,6
99,6
100,6
101,6
102,6
103,6
104,6
105,6
106,6
107,6
108,6
109,6
110,6
111,6
112,6
113,6
114,6
115,6
116,6
117,6
118,6
119,6
120,6
121,2
122,4
123,2
124,4
125,3
126,4
127,3
128,2
129,3
130,2
131,4
132,3
133,4
134,3
135,2
136,4
137,2
138,4
139,3
140,4
141,3
142,2
143,3
144,2
145,4
146,3
147,4
148,3
149,2
150,4
151,6
152,6
153,6
154,6
155,6
156,6
157,5
158,6
159,6
160,6
161,6
162,6
163,6
164,5
165,6
166,6
167,6
168,6
169,6
170,6
171,5
172,6
173,6
174,6
175,6
176,6
177,6
178,5
179,6
180,6
181,2
182,5
183,3
184,5
185,3
186,5
187,4
188,3
189,4
190,3
191,5
192,3
193,5
194,4
195,3
196,5
197,3
198,5
199,3
200,5
201,4
202,3
203,5
204,3
205,5
206,3
207,6
208,4
209,3
210,4
211,8
212,6
213,8
214,7
215,9
216,7
217,5
218,8
219,6
220,8
221,7
222,9
223,7
224,6
225,8
226,6
227,8
228,7
229,9
230,7
231,6
232,8
233,6
234,8
235,7
236,9
237,7
238,6
239,8
240,6
241,6
242,3
243,6
244,3
245,5
246,7
247,4
248,6
249,4
250,5
251,3
252,5
253,7
254,4
255,6
256,3
257,5
258,2
259,5
260,6
261,4
262,6
263,4
264,5
265,3
266,5
267,7
268,4
269,6
270,3
271,2
272,2
273,2
274,2
275,2
276,2
277,2
278,2
279,2
280,2
281,2
282,2
283,2
284,2
285,2
286,2
287,2
288,2
289,2
290,2
291,2
292,2
293,2
294,2
295,2
296,2
297,2
298,2
299,2
300,2
301,2
302,2
303,1
304,2
305,1
306,2
307,2
308,2
309,2
310,1
311,2
312,1
313,2
314,2
315,2
316,2
317,1
318,2
319,1
320,2
321,2
322,2
323,2
324,1
325,2
326,1
327,2
328,2
329,2
330,2
331,5
332,6
333,5
334,5
335,4
336,5
337,6
338,5
339,6
340,4
341,5
342,4
343,5
344,6
345,5
346,6
347,4
348,5
349,4
350,5
351,6
352,5
353,6
354,4
355,5
356,4
357,5
358,6
359,5
360,6
361,3
362,4
363,3
364,4
365,4
366,3
367,4
368,3
369,4
370,3
371,3
372,4
373,3
374,4
375,3
376,4
377,3
378,3
379,4
380,3
381,4
382,3
383,4
384,3
385,3
386,4
387,3
388,4
389,3
390,4
391,6
392,7
393,6
394,7
395,8
396,6
397,8
398,6
399,7
400,6
401,7
402,8
403,7
404,7
405,6
406,7
407,6
408,7
409,8
410,6
411,7
412,6
413,7
414,6
415,7
416,8
417,6
418,7
419,6
420,7
421,6
422,7
423,6
424,7
425,5
426,7
427,8
428,6
429,8
430,6
431,7
432,5
433,7
434,8
435,6
436,8
437,6
438,7
439,5
440,7
441,8
442,6
443,7
444,5
445,7
446,5
447,6
448,8
449,6
450,7
451,5
452,5
453,5
454,5
455,4
456,5
457,6
458,5
459,5
460,5
461,5
462,4
463,5
464,6
465,5
466,6
467,5
468,5
469,4
470,5
471,6
472,5
473,5
474,5
475,5
476,4
477,5
478,6
479,5
480,5
481,6
482,6
483,6
484,6
485,6
486,6
487,6
488,6
489,6
490,6
491,6
492,6
493,6
494,6
495,5
496,6
497,6
498,6
499,6
500,6
501,6
502,5
503,6
504,6
505,6
506,6
507,6
508,6
509,5
510,6
511,10
512,11
513,11
514,11
515,11
516,10
517,11
518,10
519,11
520,11
521,11
522,11
523,10
524,11
525,10
526,11
527,12
528,11
529,11
530,10
531,11
532,10
533,11
534,11
535,11
536,11
537,10
538,11
539,10
540,11
541,19
542,18
543,19
544,18
545,18
546,19
547,18
548,19
549,18
550,19
551,18
552,18
553,19
554,18
555,19
556,18
557,19
558,18
559,18
560,19
561,18
562,19
563,18
564,19
565,18
566,18
567,19
568,18
569,19
570,18
571,8
572,8
573,8
574,8
575,8
576,8
577,8
578,8
579,8
580,8
581,8
582,8
583,8
584,8
585,8
586,8
587,8
588,8
589,8
590,8
591,8
592,8
593,8
594,8
595,8
596,8
597,8
598,8
599,8
600,8
601,7
602,7
603,7
604,7
605,7
606,7
607,7
608,7
609,7
610,7
611,7
612,7
613,7
614,7
615,7
616,7
617,7
618,7
619,7
620,7
621,7
622,7
623,7
624,7
625,7
626,7
627,7
628,7
629,7
630,7
631,12
632,12
633,12
634,12
635,12
636,12
637,12
638,12
639,12
640,12
641,12
642,12
643,12
644,12
645,12
646,12
647,12
648,12
649,12
650,12
651,12
652,12
653,12
654,12
655,12
656,12
657,12
658,12
659,12
660,12
661,6
662,5
663,6
664,6
665,6
666,6
667,5
668,6
669,5
670,6
671,5
672,6
673,6
674,5
675,6
676,5
677,6
678,5
679,6
680,6
681,5
682,6
683,5
684,6
685,5
686,6
687,6
688,5
689,6
690,5
691,11
692,10
693,9
694,11
695,9
696,11
697,10
698,11
699,10
700,9
701,10
702,9
703,11
704,10
705,11
706,10
707,9
708,11
709,9
710,11
711,9
712,11
713,10
714,9
715,11
716,9
717,11
718,10
719,11
720,10
721,7
722,7
723,7
724,7
725,7
726,7
727,7
728,7
729,7
730,7
731,7
732,7
733,7
734,7
735,7
736,7
737,7
738,7
739,7
740,7
741,7
742,7
743,7
744,7
745,7
746,7
747,7
748,7
749,7
750,7
751,17
752,18
753,17
754,19
755,18
756,19
757,18
758,17
759,18
760,17
761,18
762,18
763,19
764,18
765,17
766,18
767,17
768,19
769,18
770,19
771,18
772,17
773,18
774,17
775,18
776,18
777,19
778,18
779,17
780,18
781,10
782,8
783,9
784,7
785,9
786,7
787,8
788,10
789,8
790,9
791,7
792,9
793,7
794,8
795,9
796,8
797,9
798,7
799,8
800,7
801,8
802,9
803,8
804,9
805,7
806,9
807,7
808,8
809,10
810,8
811,8
812,6
813,8
814,6
815,7
816,6
817,7
818,8
819,7
820,8
821,6
822,7
823,5
824,7
825,8
826,6
827,8
828,6
829,7
830,6
831,7
832,8
833,6
834,8
835,6
836,7
837,6
838,7
839,8
840,6
841,11
842,10
843,12
844,10
845,13
846,11
847,8
848,11
849,9
850,12
851,10
852,13
853,10
854,8
855,11
856,9
857,12
858,10
859,13
860,11
861,9
862,11
863,9
864,12
865,10
866,13
867,11
868,9
869,11
870,9
871,20
872,16
873,19
874,15
875,19
876,22
877,17
878,21
879,16
880,19
881,15
882,18
883,21
884,17
885,20
886,16
887,19
888,15
889,18
890,21
891,17
892,20
